dataset_name,video_path,relative_path,video_file,label
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101331.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101331.mp4,20240912_101331.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101427.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101427.mp4,20240912_101427.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101520.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101520.mp4,20240912_101520.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101626.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101626.mp4,20240912_101626.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101723.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101723.mp4,20240912_101723.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101943.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_101943.mp4,20240912_101943.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102048.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102048.mp4,20240912_102048.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102146.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102146.mp4,20240912_102146.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102330.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102330.mp4,20240912_102330.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102649.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102649.mp4,20240912_102649.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102739.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102739.mp4,20240912_102739.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102926.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_102926.mp4,20240912_102926.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103041.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103041.mp4,20240912_103041.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103200.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103200.mp4,20240912_103200.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103345.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103345.mp4,20240912_103345.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103443.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103443.mp4,20240912_103443.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103526.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103526.mp4,20240912_103526.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103725.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_103725.mp4,20240912_103725.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104404.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104404.mp4,20240912_104404.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104512.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104512.mp4,20240912_104512.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104618.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104618.mp4,20240912_104618.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104722.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104722.mp4,20240912_104722.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104833.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_104833.mp4,20240912_104833.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105018.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105018.mp4,20240912_105018.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105129.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105129.mp4,20240912_105129.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105349.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105349.mp4,20240912_105349.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105511.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105511.mp4,20240912_105511.mp4,fall
fall_video_dataset,C:\ElderCareProject\datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105555.mp4,datasets\raw\fall_video_dataset\Fall\Raw_Video\20240912_105555.mp4,20240912_105555.mp4,fall
